,DTM1,HOSP_CAT,HOSP_SHORT,CAT,BT,WTBS,File_Name
178,2019-11-01 17:00:00,NHS_-99,NHS,-99,0,1,Amb_Dashboard_2019.11.01_17.00
179,2019-11-01 17:30:00,NHS_-99,NHS,-99,0,1,Amb_Dashboard_2019.11.01_17.30
180,2019-11-01 18:00:00,NHS_1,NHS,1,1,0,Amb_Dashboard_2019.11.01_18.00
181,2019-11-01 18:30:00,NHS_-99,NHS,-99,0,1,Amb_Dashboard_2019.11.01_18.30
182,2019-11-01 19:00:00,NHS_1,NHS,1,1,0,Amb_Dashboard_2019.11.01_19.00
183,2019-11-01 19:30:00,NHS_-99,NHS,-99,0,1,Amb_Dashboard_2019.11.01_19.30
184,2019-11-01 20:00:00,NHS_1,NHS,1,1,0,Amb_Dashboard_2019.11.01_20.00
185,2019-11-01 20:30:00,NHS_1,NHS,1,1,0,Amb_Dashboard_2019.11.01_20.30
186,2019-11-01 21:00:00,NHS_-99,NHS,-99,0,1,Amb_Dashboard_2019.11.01_21.00
187,2019-11-01 21:30:00,NHS_-99,NHS,-99,0,1,Amb_Dashboard_2019.11.01_21.30
188,2019-11-01 22:00:00,NHS_-99,NHS,-99,0,1,Amb_Dashboard_2019.11.01_22.00
189,2019-11-01 22:30:00,NHS_1,NHS,1,1,0,Amb_Dashboard_2019.11.01_22.30
190,2019-11-01 23:00:00,NHS_1,NHS,1,1,0,Amb_Dashboard_2019.11.01_23.00
191,2019-11-01 23:30:00,NHS_-99,NHS,-99,0,1,Amb_Dashboard_2019.11.01_23.30
192,2019-11-01 00:00:00,RAH_-99,RAH,-99,0,3,Amb_Dashboard_2019.11.01_00.00
193,2019-11-01 00:30:00,RAH_-99,RAH,-99,0,1,Amb_Dashboard_2019.11.01_00.30
194,2019-11-01 01:00:00,RAH_-99,RAH,-99,0,2,Amb_Dashboard_2019.11.01_01.00
195,2019-11-01 01:30:00,RAH_1,RAH,1,3,0,Amb_Dashboard_2019.11.01_01.30
196,2019-11-01 02:00:00,RAH_1,RAH,1,3,0,Amb_Dashboard_2019.11.01_02.00
197,2019-11-01 02:30:00,RAH_1,RAH,1,3,0,Amb_Dashboard_2019.11.01_02.30
198,2019-11-01 03:00:00,RAH_1,RAH,1,3,0,Amb_Dashboard_2019.11.01_03.00
199,2019-11-01 03:30:00,RAH_-99,RAH,-99,0,1,Amb_Dashboard_2019.11.01_03.30
200,2019-11-01 04:00:00,RAH_-99,RAH,-99,0,2,Amb_Dashboard_2019.11.01_04.00
201,2019-11-01 04:30:00,RAH_-99,RAH,-99,0,1,Amb_Dashboard_2019.11.01_04.30
202,2019-11-01 05:00:00,RAH_-99,RAH,-99,1,0,Amb_Dashboard_2019.11.01_05.00
203,2019-11-01 05:30:00,RAH_-99,RAH,-99,0,2,Amb_Dashboard_2019.11.01_05.30
204,2019-11-01 06:00:00,RAH_1,RAH,1,2,0,Amb_Dashboard_2019.11.01_06.00
205,2019-11-01 06:30:00,RAH_-99,RAH,-99,1,1,Amb_Dashboard_2019.11.01_06.30
206,2019-11-01 07:00:00,RAH_-99,RAH,-99,2,0,Amb_Dashboard_2019.11.01_07.00
207,2019-11-01 07:30:00,RAH_-99,RAH,-99,1,1,Amb_Dashboard_2019.11.01_07.30
208,2019-11-01 08:00:00,RAH_-99,RAH,-99,1,2,Amb_Dashboard_2019.11.01_08.00
209,2019-11-01 08:30:00,RAH_-99,RAH,-99,1,3,Amb_Dashboard_2019.11.01_08.30
210,2019-11-01 09:00:00,RAH_-99,RAH,-99,0,1,Amb_Dashboard_2019.11.01_09.00
211,2019-11-01 09:30:00,RAH_-99,RAH,-99,0,1,Amb_Dashboard_2019.11.01_09.30
212,2019-11-01 10:00:00,RAH_-99,RAH,-99,1,2,Amb_Dashboard_2019.11.01_10.00
213,2019-11-01 10:30:00,RAH_-99,RAH,-99,2,4,Amb_Dashboard_2019.11.01_10.30
214,2019-11-01 11:00:00,RAH_-99,RAH,-99,3,1,Amb_Dashboard_2019.11.01_11.00
215,2019-11-01 11:30:00,RAH_-99,RAH,-99,3,1,Amb_Dashboard_2019.11.01_11.30
216,2019-11-01 12:00:00,RAH_-99,RAH,-99,4,3,Amb_Dashboard_2019.11.01_12.00
217,2019-11-01 12:30:00,RAH_-99,RAH,-99,3,1,Amb_Dashboard_2019.11.01_12.30
218,2019-11-01 13:00:00,RAH_-99,RAH,-99,2,2,Amb_Dashboard_2019.11.01_13.00
219,2019-11-01 13:30:00,RAH_-99,RAH,-99,4,5,Amb_Dashboard_2019.11.01_13.30
220,2019-11-01 14:00:00,RAH_-99,RAH,-99,5,4,Amb_Dashboard_2019.11.01_14.00
221,2019-11-01 14:30:00,RAH_-99,RAH,-99,6,5,Amb_Dashboard_2019.11.01_14.30
222,2019-11-01 15:00:00,RAH_-99,RAH,-99,5,8,Amb_Dashboard_2019.11.01_15.00
223,2019-11-01 15:30:00,RAH_-99,RAH,-99,4,8,Amb_Dashboard_2019.11.01_15.30
224,2019-11-01 16:00:00,RAH_-99,RAH,-99,5,6,Amb_Dashboard_2019.11.01_16.00
225,2019-11-01 16:30:00,RAH_-99,RAH,-99,3,7,Amb_Dashboard_2019.11.01_16.30
226,2019-11-01 17:00:00,RAH_-99,RAH,-99,3,6,Amb_Dashboard_2019.11.01_17.00
227,2019-11-01 17:30:00,RAH_-99,RAH,-99,3,5,Amb_Dashboard_2019.11.01_17.30
228,2019-11-01 18:00:00,RAH_-99,RAH,-99,3,3,Amb_Dashboard_2019.11.01_18.00
229,2019-11-01 18:30:00,RAH_-99,RAH,-99,3,4,Amb_Dashboard_2019.11.01_18.30
230,2019-11-01 19:00:00,RAH_-99,RAH,-99,3,5,Amb_Dashboard_2019.11.01_19.00
231,2019-11-01 19:30:00,RAH_-99,RAH,-99,2,4,Amb_Dashboard_2019.11.01_19.30
232,2019-11-01 20:00:00,RAH_-99,RAH,-99,2,4,Amb_Dashboard_2019.11.01_20.00
233,2019-11-01 20:30:00,RAH_-99,RAH,-99,3,4,Amb_Dashboard_2019.11.01_20.30
234,2019-11-01 21:00:00,RAH_-99,RAH,-99,1,1,Amb_Dashboard_2019.11.01_21.00
235,2019-11-01 21:30:00,RAH_-99,RAH,-99,0,1,Amb_Dashboard_2019.11.01_21.30
236,2019-11-01 22:00:00,RAH_-99,RAH,-99,1,1,Amb_Dashboard_2019.11.01_22.00
237,2019-11-01 22:30:00,RAH_-99,RAH,-99,1,0,Amb_Dashboard_2019.11.01_22.30
238,2019-11-01 23:00:00,RAH_-99,RAH,-99,0,1,Amb_Dashboard_2019.11.01_23.00
239,2019-11-01 23:30:00,RAH_-99,RAH,-99,1,2,Amb_Dashboard_2019.11.01_23.30
240,2019-11-01 00:00:00,TQEH_-99,TQEH,-99,0,2,Amb_Dashboard_2019.11.01_00.00
241,2019-11-01 00:30:00,TQEH_-99,TQEH,-99,0,1,Amb_Dashboard_2019.11.01_00.30
242,2019-11-01 01:00:00,TQEH_-99,TQEH,-99,0,1,Amb_Dashboard_2019.11.01_01.00
243,2019-11-01 01:30:00,TQEH_2,TQEH,2,5,0,Amb_Dashboard_2019.11.01_01.30
244,2019-11-01 02:00:00,TQEH_1,TQEH,1,2,0,Amb_Dashboard_2019.11.01_02.00
245,2019-11-01 02:30:00,TQEH_1,TQEH,1,2,0,Amb_Dashboard_2019.11.01_02.30
246,2019-11-01 03:00:00,TQEH_-99,TQEH,-99,0,1,Amb_Dashboard_2019.11.01_03.00
247,2019-11-01 03:30:00,TQEH_2,TQEH,2,7,0,Amb_Dashboard_2019.11.01_03.30
248,2019-11-01 04:00:00,TQEH_2,TQEH,2,6,0,Amb_Dashboard_2019.11.01_04.00
249,2019-11-01 04:30:00,TQEH_2,TQEH,2,6,0,Amb_Dashboard_2019.11.01_04.30
250,2019-11-01 05:00:00,TQEH_-99,TQEH,-99,0,1,Amb_Dashboard_2019.11.01_05.00
251,2019-11-01 05:30:00,TQEH_2,TQEH,2,7,0,Amb_Dashboard_2019.11.01_05.30
252,2019-11-01 06:00:00,TQEH_2,TQEH,2,7,0,Amb_Dashboard_2019.11.01_06.00
253,2019-11-01 06:30:00,TQEH_2,TQEH,2,6,0,Amb_Dashboard_2019.11.01_06.30
254,2019-11-01 07:00:00,TQEH_2,TQEH,2,6,0,Amb_Dashboard_2019.11.01_07.00
255,2019-11-01 07:30:00,TQEH_-99,TQEH,-99,0,1,Amb_Dashboard_2019.11.01_07.30
256,2019-11-01 08:00:00,TQEH_-99,TQEH,-99,0,1,Amb_Dashboard_2019.11.01_08.00
257,2019-11-01 08:30:00,TQEH_2,TQEH,2,5,0,Amb_Dashboard_2019.11.01_08.30
258,2019-11-01 09:00:00,TQEH_-99,TQEH,-99,0,2,Amb_Dashboard_2019.11.01_09.00
259,2019-11-01 09:30:00,TQEH_-99,TQEH,-99,0,1,Amb_Dashboard_2019.11.01_09.30
260,2019-11-01 10:00:00,TQEH_-99,TQEH,-99,0,1,Amb_Dashboard_2019.11.01_10.00
261,2019-11-01 10:30:00,TQEH_-99,TQEH,-99,0,1,Amb_Dashboard_2019.11.01_10.30
262,2019-11-01 11:00:00,TQEH_2,TQEH,2,5,0,Amb_Dashboard_2019.11.01_11.00
263,2019-11-01 11:30:00,TQEH_2,TQEH,2,5,0,Amb_Dashboard_2019.11.01_11.30
