,DTM1,HOSP_TYPE,HOSP_SHORT,WFB,OCC,BASE,File_Name
73,2019-11-01 04:30:00,METRO,TQEH,6.0,226.0,278.0,Amb_Dashboard_2019.11.01_04.55
74,2019-11-01 04:30:00,METRO,WCHP,4.0,67.0,92.0,Amb_Dashboard_2019.11.01_04.55
75,2019-11-01 04:30:00,METRO,RAH,25.0,543.0,559.0,Amb_Dashboard_2019.11.01_04.55
76,2019-11-01 04:30:00,METRO,LMH,8.0,232.0,194.0,Amb_Dashboard_2019.11.01_04.55
77,2019-11-01 05:00:00,METRO,NHS,0.0,37.0,51.0,Amb_Dashboard_2019.11.01_05.30
78,2019-11-01 05:00:00,METRO,MH,0.0,30.0,36.0,Amb_Dashboard_2019.11.01_05.30
79,2019-11-01 05:00:00,METRO,LMH,9.0,233.0,194.0,Amb_Dashboard_2019.11.01_05.30
80,2019-11-01 05:00:00,METRO,RAH,24.0,543.0,559.0,Amb_Dashboard_2019.11.01_05.30
81,2019-11-01 05:00:00,METRO,WCHP,4.0,67.0,92.0,Amb_Dashboard_2019.11.01_05.30
82,2019-11-01 05:00:00,METRO,TQEH,7.0,226.0,278.0,Amb_Dashboard_2019.11.01_05.30
83,2019-11-01 05:00:00,METRO,FMC,12.0,363.0,390.0,Amb_Dashboard_2019.11.01_05.30
84,2019-11-01 05:30:00,METRO,WCHP,4.0,67.0,92.0,Amb_Dashboard_2019.11.01_05.55
85,2019-11-01 05:30:00,METRO,NHS,0.0,37.0,51.0,Amb_Dashboard_2019.11.01_05.55
86,2019-11-01 05:30:00,METRO,RAH,28.0,543.0,559.0,Amb_Dashboard_2019.11.01_05.55
87,2019-11-01 05:30:00,METRO,LMH,8.0,234.0,194.0,Amb_Dashboard_2019.11.01_05.55
88,2019-11-01 05:30:00,METRO,FMC,13.0,363.0,390.0,Amb_Dashboard_2019.11.01_05.55
89,2019-11-01 05:30:00,METRO,TQEH,7.0,226.0,278.0,Amb_Dashboard_2019.11.01_05.55
90,2019-11-01 05:30:00,METRO,MH,0.0,30.0,36.0,Amb_Dashboard_2019.11.01_05.55
91,2019-11-01 06:00:00,METRO,LMH,6.0,235.0,194.0,Amb_Dashboard_2019.11.01_06.25
92,2019-11-01 06:00:00,METRO,TQEH,8.0,226.0,278.0,Amb_Dashboard_2019.11.01_06.25
93,2019-11-01 06:00:00,METRO,MH,0.0,30.0,36.0,Amb_Dashboard_2019.11.01_06.25
94,2019-11-01 06:00:00,METRO,FMC,12.0,363.0,390.0,Amb_Dashboard_2019.11.01_06.25
95,2019-11-01 06:00:00,METRO,WCHP,4.0,67.0,92.0,Amb_Dashboard_2019.11.01_06.25
96,2019-11-01 06:00:00,METRO,RAH,28.0,544.0,559.0,Amb_Dashboard_2019.11.01_06.25
97,2019-11-01 06:00:00,METRO,NHS,0.0,37.0,51.0,Amb_Dashboard_2019.11.01_06.25
98,2019-11-01 06:30:00,METRO,RAH,30.0,543.0,559.0,Amb_Dashboard_2019.11.01_07.00
99,2019-11-01 06:30:00,METRO,NHS,0.0,37.0,51.0,Amb_Dashboard_2019.11.01_07.00
100,2019-11-01 06:30:00,METRO,MH,0.0,30.0,36.0,Amb_Dashboard_2019.11.01_07.00
101,2019-11-01 06:30:00,METRO,TQEH,10.0,226.0,278.0,Amb_Dashboard_2019.11.01_07.00
102,2019-11-01 06:30:00,METRO,WCHP,4.0,67.0,92.0,Amb_Dashboard_2019.11.01_07.00
103,2019-11-01 06:30:00,METRO,LMH,5.0,237.0,194.0,Amb_Dashboard_2019.11.01_07.00
104,2019-11-01 06:30:00,METRO,FMC,11.0,363.0,390.0,Amb_Dashboard_2019.11.01_07.00
105,2019-11-01 07:00:00,METRO,WCHP,5.0,67.0,92.0,Amb_Dashboard_2019.11.01_07.25
106,2019-11-01 07:00:00,METRO,MH,0.0,32.0,36.0,Amb_Dashboard_2019.11.01_07.25
107,2019-11-01 07:00:00,METRO,NHS,0.0,37.0,51.0,Amb_Dashboard_2019.11.01_07.25
108,2019-11-01 07:00:00,METRO,TQEH,12.0,231.0,278.0,Amb_Dashboard_2019.11.01_07.25
109,2019-11-01 07:00:00,METRO,LMH,5.0,241.0,194.0,Amb_Dashboard_2019.11.01_07.25
110,2019-11-01 07:00:00,METRO,FMC,12.0,366.0,390.0,Amb_Dashboard_2019.11.01_07.25
111,2019-11-01 07:00:00,METRO,RAH,32.0,543.0,559.0,Amb_Dashboard_2019.11.01_07.25
112,2019-11-01 07:30:00,METRO,LMH,4.0,248.0,194.0,Amb_Dashboard_2019.11.01_07.55
113,2019-11-01 07:30:00,METRO,FMC,12.0,371.0,390.0,Amb_Dashboard_2019.11.01_07.55
